x,y,u,v,p
-2,0.5,0.5,0,1.2299
-1.9308,0.5,0,0,0.82625
-1.8627,0.5,0,0,0.48569
-1.7959,0.5,0,0,0.513
-1.7303,0.5,0,0,0.46658
-1.6658,0.5,0,0,0.44083
-1.6024,0.5,0,0,0.4127
-1.5402,0.5,0,0,0.3871
-1.479,0.5,0,0,0.36267
-1.419,0.5,0,0,0.33948
-1.3599,0.5,0,0,0.31738
-1.302,0.5,0,0,0.29628
-1.245,0.5,0,0,0.27609
-1.1891,0.5,0,0,0.25673
-1.1341,0.5,0,0,0.23813
-1.0801,0.5,0,0,0.22024
-1.0271,0.5,0,0,0.20299
-0.97499,0.5,0,0,0.18633
-0.9238,0.5,0,0,0.17021
-0.87352,0.5,0,0,0.1546
-0.82412,0.5,0,0,0.13944
-0.77559,0.5,0,0,0.1247
-0.72791,0.5,0,0,0.11034
-0.68108,0.5,0,0,0.09632
-0.63507,0.5,0,0,0.082611
-0.58987,0.5,0,0,0.069175
-0.54547,0.5,0,0,0.055972
-0.50184,0.5,0,0,0.042965
-0.45899,0.5,0,0,0.030113
-0.41689,0.5,0,0,0.017372
-0.37554,0.5,0,0,0.0046937
-0.33491,0.5,0,0,-0.0079778
-0.295,0.5,0,0,-0.020702
-0.25579,0.5,0,0,-0.033561
-0.21727,0.5,0,0,-0.046632
-0.17943,0.5,0,0,-0.060072
-0.14226,0.5,0,0,-0.073961
-0.10574,0.5,0,0,-0.088809
-0.069865,0.5,0,0,-0.10433
-0.034622,0.5,0,0,-0.12765
0,0.5,0,0,-0.1588
-2,0.50577,1,0,1.2057
-1.9308,0.50577,0.27988,0.036551,0.81605
-1.8627,0.50577,0.17232,0.0049624,0.48812
-1.7959,0.50577,0.12312,0.0011747,0.5138
-1.7303,0.50577,0.11188,0.00059251,0.46698
-1.6658,0.50577,0.10221,0.00036813,0.44108
-1.6024,0.50577,0.0967,0.00025497,0.41287
-1.5402,0.50577,0.092551,0.00019046,0.38723
-1.479,0.50577,0.089471,0.00014914,0.36277
-1.419,0.50577,0.087037,0.00012152,0.33956
-1.3599,0.50577,0.08506,0.00010187,0.31745
-1.302,0.50577,0.083413,8.72E-05,0.29634
-1.245,0.50577,0.082016,7.59E-05,0.27614
-1.1891,0.50577,0.080815,6.67E-05,0.25677
-1.1341,0.50577,0.079774,5.92E-05,0.23817
-1.0801,0.50577,0.078863,5.28E-05,0.22027
-1.0271,0.50577,0.078064,4.72E-05,0.20302
-0.97499,0.50577,0.077361,4.23E-05,0.18636
-0.9238,0.50577,0.076743,3.78E-05,0.17024
-0.87352,0.50577,0.076201,3.37E-05,0.15462
-0.82412,0.50577,0.075727,2.97E-05,0.13946
-0.77559,0.50577,0.075319,2.59E-05,0.12471
-0.72791,0.50577,0.074971,2.21E-05,0.11035
-0.68108,0.50577,0.074683,1.82E-05,0.096332
-0.63507,0.50577,0.074455,1.42E-05,0.082621
-0.58987,0.50577,0.074286,9.85E-06,0.069182
-0.54547,0.50577,0.074179,5.13E-06,0.055976
-0.50184,0.50577,0.074138,-1.24E-07,0.042966
-0.45899,0.50577,0.074168,-6.08E-06,0.03011
-0.41689,0.50577,0.074277,-1.29E-05,0.017365
-0.37554,0.50577,0.074473,-2.10E-05,0.0046815
-0.33491,0.50577,0.074771,-3.06E-05,-0.0079959
-0.295,0.50577,0.075187,-4.25E-05,-0.020727
-0.25579,0.50577,0.075744,-5.74E-05,-0.033596
-0.21727,0.50577,0.076485,-7.72E-05,-0.046678
-0.17943,0.50577,0.077452,-0.00010482,-0.060135
-0.14226,0.50577,0.078786,-0.00014939,-0.074049
-0.10574,0.50577,0.080591,-0.00024392,-0.088944
-0.069865,0.50577,0.084041,-0.00054943,-0.10458
-0.034622,0.50577,0.090018,-0.0048984,-0.12741
0,0.50577,0.13403,-0.02141,-0.15138
-2,0.51161,1,0,1.1564
-1.9308,0.51161,0.49553,0.070094,0.79564
-1.8627,0.51161,0.33351,0.014711,0.49356
-1.7959,0.51161,0.24564,0.0044755,0.51552
-1.7303,0.51161,0.22104,0.0021024,0.46785
-1.6658,0.51161,0.20237,0.0013437,0.44162
-1.6024,0.51161,0.19132,0.00091882,0.41325
-1.5402,0.51161,0.18314,0.0006875,0.38751
-1.479,0.51161,0.17705,0.00053692,0.36298
-1.419,0.51161,0.17225,0.00043679,0.33974
-1.3599,0.51161,0.16835,0.00036554,0.3176
-1.302,0.51161,0.16511,0.00031257,0.29646
-1.245,0.51161,0.16237,0.00027155,0.27625
-1.1891,0.51161,0.16002,0.00023866,0.25687
-1.1341,0.51161,0.15797,0.00021152,0.23826
-1.0801,0.51161,0.15619,0.00018853,0.22035
-1.0271,0.51161,0.15463,0.00016862,0.20309
-0.97499,0.51161,0.15325,0.00015098,0.18642
-0.9238,0.51161,0.15204,0.00013502,0.17029
-0.87352,0.51161,0.15098,0.00012026,0.15467
-0.82412,0.51161,0.15005,0.00010628,0.1395
-0.77559,0.51161,0.14925,9.27E-05,0.12475
-0.72791,0.51161,0.14857,7.93E-05,0.11038
-0.68108,0.51161,0.148,6.56E-05,0.096358
-0.63507,0.51161,0.14755,5.14E-05,0.082642
-0.58987,0.51161,0.14721,3.62E-05,0.069197
-0.54547,0.51161,0.14699,1.96E-05,0.055985
-0.50184,0.51161,0.1469,1.23E-06,0.042968
-0.45899,0.51161,0.14695,-1.96E-05,0.030105
-0.41689,0.51161,0.14714,-4.35E-05,0.01735
-0.37554,0.51161,0.14751,-7.15E-05,0.0046567
-0.33491,0.51161,0.14806,-0.00010505,-0.008033
-0.295,0.51161,0.14884,-0.00014608,-0.02078
-0.25579,0.51161,0.14989,-0.00019774,-0.033666
-0.21727,0.51161,0.15129,-0.00026578,-0.046774
-0.17943,0.51161,0.15311,-0.0003615,-0.060265
-0.14226,0.51161,0.15561,-0.00051039,-0.07423
-0.10574,0.51161,0.159,-0.00082344,-0.089218
-0.069865,0.51161,0.16499,-0.0016555,-0.10508
-0.034622,0.51161,0.17475,-0.0089817,-0.12684
0,0.51161,0.20663,-0.02905,-0.14763
-2,0.51752,1,0,1.1091
-1.9308,0.51752,0.66417,0.096475,0.7771
-1.8627,0.51752,0.48359,0.027578,0.4998
-1.7959,0.51752,0.3667,0.009947,0.51724
-1.7303,0.51752,0.32766,0.0046903,0.46878
