x,y,u,v,p
0,0,0,0,3.64E-09
0.001,0,0,0,5.89E-06
0.002,0,0,0,1.36E-05
0.003,0,0,0,9.04E-06
0.004,0,0,0,-1.24E-05
0.005,0,0,0,-5.15E-05
0.006,0,0,0,-0.00010728
0.007,0,0,0,-0.00017838
0.008,0,0,0,-0.00026315
0.009,0,0,0,-0.00035998
0.01,0,0,0,-0.00046746
0.011,0,0,0,-0.00058439
0.012,0,0,0,-0.0007098
0.013,0,0,0,-0.00084297
0.014,0,0,0,-0.00098334
0.015,0,0,0,-0.0011305
0.016,0,0,0,-0.0012842
0.017,0,0,0,-0.0014442
0.018,0,0,0,-0.0016104
0.019,0,0,0,-0.0017824
0.02,0,0,0,-0.0019601
0.021,0,0,0,-0.0021432
0.022,0,0,0,-0.0023311
0.023,0,0,0,-0.0025233
0.024,0,0,0,-0.0027192
0.025,0,0,0,-0.0029179
0.026,0,0,0,-0.0031183
0.027,0,0,0,-0.0033192
0.028,0,0,0,-0.0035192
0.029,0,0,0,-0.0037169
0.03,0,0,0,-0.0039104
0.031,0,0,0,-0.0040979
0.032,0,0,0,-0.0042774
0.033,0,0,0,-0.0044466
0.034,0,0,0,-0.0046033
0.035,0,0,0,-0.0047453
0.036,0,0,0,-0.0048701
0.037,0,0,0,-0.0049755
0.038,0,0,0,-0.005059
0.039,0,0,0,-0.0051187
0.04,0,0,0,-0.0051524
0.041,0,0,0,-0.0051583
0.042,0,0,0,-0.0051352
0.043,0,0,0,-0.0050817
0.044,0,0,0,-0.0049973
0.045,0,0,0,-0.0048817
0.046,0,0,0,-0.0047353
0.047,0,0,0,-0.0045588
0.048,0,0,0,-0.0043539
0.049,0,0,0,-0.0041229
0.05,0,0,0,-0.0038684
0.051,0,0,0,-0.0035935
0.052,0,0,0,-0.0033023
0.053,0,0,0,-0.0029998
0.054,0,0,0,-0.0026907
0.055,0,0,0,-0.0023807
0.056,0,0,0,-0.0020754
0.057,0,0,0,-0.0017808
0.058,0,0,0,-0.001503
0.059,0,0,0,-0.0012479
0.06,0,0,0,-0.0010211
0.061,0,0,0,-0.00082811
0.062,0,0,0,-0.00067357
0.063,0,0,0,-0.00056162
0.064,0,0,0,-0.00049554
0.065,0,0,0,-0.00047772
0.066,0,0,0,-0.00050958
0.067,0,0,0,-0.00059148
0.068,0,0,0,-0.00072275
0.069,0,0,0,-0.00090166
0.07,0,0,0,-0.0011255
0.071,0,0,0,-0.0013908
0.072,0,0,0,-0.001693
0.073,0,0,0,-0.0020271
0.074,0,0,0,-0.0023876
0.075,0,0,0,-0.0027687
0.076,0,0,0,-0.0031643
0.077,0,0,0,-0.0035684
0.078,0,0,0,-0.0039751
0.079,0,0,0,-0.004379
0.08,0,0,0,-0.0047748
0.081,0,0,0,-0.005158
0.082,0,0,0,-0.0055246
0.083,0,0,0,-0.0058712
0.084,0,0,0,-0.0061948
0.085,0,0,0,-0.0064934
0.086,0,0,0,-0.0067653
0.087,0,0,0,-0.0070093
0.088,0,0,0,-0.0072248
0.089,0,0,0,-0.0074113
0.09,0,0,0,-0.0075687
0.091,0,0,0,-0.0076971
0.092,0,0,0,-0.0077966
0.093,0,0,0,-0.0078677
0.094,0,0,0,-0.007911
0.095,0,0,0,-0.0079281
0.096,0,0,0,-0.0079213
0.097,0,0,0,-0.0078951
0.098,0,0,0,-0.0078573
0.099,0,0,0,-0.0078211
0.1,0,0,0,-0.0078054
0,0.001,0,0,-5.92E-06
0.001,0.001,4.40E-05,-4.38E-05,-3.95E-08
0.002,0.001,0.00014525,-8.19E-05,7.31E-06
0.003,0.001,0.00028819,-0.00010342,2.25E-06
0.004,0.001,0.00044794,-0.00010885,-1.93E-05
0.005,0.001,0.000603,-0.00010236,-5.77E-05
0.006,0.001,0.00073842,-8.78E-05,-0.00011205
0.007,0.001,0.00084417,-6.82E-05,-0.00018112
0.008,0.001,0.00091378,-4.57E-05,-0.00026341
0.009,0.001,0.00094349,-2.17E-05,-0.00035747
0.01,0.001,0.00093138,2.81E-06,-0.000462
0.011,0.001,0.00087676,2.72E-05,-0.00057585
0.012,0.001,0.00077965,5.12E-05,-0.00069814
0.013,0.001,0.00064046,7.47E-05,-0.00082816
0.014,0.001,0.00045975,9.77E-05,-0.00096538
0.015,0.001,0.00023797,0.00012032,-0.0011094
0.016,0.001,-2.46E-05,0.00014276,-0.0012599
0.017,0.001,-0.00032787,0.00016519,-0.0014168
0.018,0.001,-0.00067211,0.00018781,-0.0015797
0.019,0.001,-0.0010577,0.00021077,-0.0017485
0.02,0.001,-0.0014852,0.00023417,-0.001923
0.021,0.001,-0.0019553,0.0002581,-0.0021027
0.022,0.001,-0.0024686,0.00028256,-0.0022874
0.023,0.001,-0.0030257,0.00030754,-0.0024764
0.024,0.001,-0.0036273,0.00033294,-0.002669
0.025,0.001,-0.0042734,0.00035863,-0.0028644
0.026,0.001,-0.004964,0.00038441,-0.0030617
0.027,0.001,-0.0056985,0.00041005,-0.0032596
0.028,0.001,-0.0064759,0.00043524,-0.0034568
0.029,0.001,-0.0072946,0.00045966,-0.0036518
0.03,0.001,-0.0081524,0.00048293,-0.0038429
0.031,0.001,-0.0090463,0.00050464,-0.0040283
0.032,0.001,-0.0099727,0.00052437,-0.004206
0.033,0.001,-0.010927,0.00054163,-0.0043739
0.034,0.001,-0.011904,0.00055597,-0.0045298
0.035,0.001,-0.012898,0.0005669,-0.0046715
0.036,0.001,-0.013902,0.00057392,-0.0047965
0.037,0.001,-0.014909,0.00057657,-0.0049027
0.038,0.001,-0.015909,0.00057439,-0.0049878
0.039,0.001,-0.016895,0.00056695,-0.0050496
0.04,0.001,-0.017857,0.00055386,-0.0050862
0.041,0.001,-0.018784,0.00053479,-0.0050958
0.042,0.001,-0.019666,0.00050948,-0.0050769
0.043,0.001,-0.020493,0.00047774,-0.0050285
0.044,0.001,-0.021253,0.00043946,-0.0049499
0.045,0.001,-0.021937,0.00039463,-0.0048407
